player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
BB McCullum,PP,126,14,112,2.074,0.5,0.2411,-77.32,61.32,138.64,-0.1438,0.0784,0.2222,130.05,0.2698,0.4226,4,Pressure Vulnerable,#e74c3c
AC Gilchrist,PP,62,10,52,1.642,0.6,0.3654,-43.09,95.15,138.24,-0.0588,0.1764,0.2352,131.29,0.4032,0.4244,3,Explosive Aggressor,#3498db
GC Smith,PP,47,15,32,2.438,0.5333,0.2188,-51.05,72.36,123.41,-0.0733,0.127,0.2003,107.12,0.3191,0.4802,4,Pressure Vulnerable,#e74c3c
CH Gayle,PP,151,37,114,1.961,0.5676,0.2895,-71.24,75.69,146.93,-0.1193,0.1278,0.2472,129.47,0.3576,0.4724,4,Pressure Vulnerable,#e74c3c
ST Jayasuriya,PP,36,6,30,1.364,0.5,0.3667,-78.61,70.55,149.16,-0.1526,0.1085,0.2611,136.06,0.3889,0.4305,4,Pressure Vulnerable,#e74c3c
Mohammad Hafeez,PP,47,18,29,1.841,0.4444,0.2414,-32.41,80.38,112.79,-0.0479,0.1332,0.1811,100.37,0.3191,0.5326,1,Composed Accumulator,#2ecc71
SR Tendulkar,PP,61,8,53,3.786,0.5,0.1321,-32.28,84.88,117.16,-0.0244,0.1642,0.1886,112.93,0.1803,0.4229,0,Steady Anchor,#34495e
V Sehwag,PP,70,5,65,0.565,0.2,0.3538,-58.0,87.79,145.79,-0.1096,0.1371,0.2467,141.65,0.3429,0.3703,4,Pressure Vulnerable,#e74c3c
KC Sangakkara,PP,37,7,30,1.071,0.2857,0.2667,-47.61,70.02,117.63,-0.0754,0.1192,0.1946,108.62,0.2703,0.4528,4,Pressure Vulnerable,#e74c3c
LMP Simmons,PP,58,9,49,0.99,0.2222,0.2245,-52.99,72.85,125.84,-0.1017,0.0988,0.2005,117.62,0.2241,0.455,4,Pressure Vulnerable,#e74c3c
Tamim Iqbal,PP,52,9,43,1.76,0.7778,0.4419,-48.63,67.54,116.17,-0.0624,0.1096,0.1721,107.75,0.5,0.4556,4,Pressure Vulnerable,#e74c3c
HH Gibbs,PP,40,10,30,1.5,0.4,0.2667,-44.0,86.41,130.42,-0.0426,0.158,0.2006,119.41,0.3,0.4782,1,Composed Accumulator,#2ecc71
CO Obuya,PP,23,8,15,1.25,0.25,0.2,-57.32,82.56,139.89,-0.105,0.1238,0.2288,119.95,0.2174,0.4737,4,Pressure Vulnerable,#e74c3c
MEK Hussey,PP,53,11,42,3.182,0.4545,0.1429,-51.97,62.76,114.73,-0.0564,0.1049,0.1613,103.95,0.2075,0.4571,0,Steady Anchor,#34495e
Kamran Akmal,PP,24,12,12,1.667,0.4167,0.25,-55.28,85.17,140.45,-0.0792,0.1488,0.228,112.81,0.3333,0.5383,4,Pressure Vulnerable,#e74c3c
RV Uthappa,PP,92,12,80,2.105,0.5,0.2375,-60.44,69.53,129.97,-0.1086,0.0896,0.1982,122.08,0.2717,0.4161,4,Pressure Vulnerable,#e74c3c
ML Hayden,PP,36,9,27,0.857,0.2222,0.2593,-66.49,78.76,145.26,-0.1,0.148,0.2479,128.63,0.25,0.4454,4,Pressure Vulnerable,#e74c3c
JP Duminy,PP,21,5,16,3.2,0.2,0.0625,-32.96,78.02,110.98,-0.0669,0.1176,0.1845,103.13,0.0952,0.4849,0,Steady Anchor,#34495e
G Gambhir,PP,130,10,120,2.0,0.5,0.25,-50.71,71.92,122.63,-0.0787,0.1051,0.1839,118.73,0.2692,0.3798,4,Pressure Vulnerable,#e74c3c
AB de Villiers,PP,42,6,36,2.4,0.3333,0.1389,-20.1,106.43,126.52,0.0069,0.2032,0.1963,123.65,0.1667,0.4294,1,Composed Accumulator,#2ecc71
DPMD Jayawardene,PP,53,9,44,3.259,0.6667,0.2045,-62.12,75.42,137.54,-0.114,0.1285,0.2425,126.99,0.283,0.4314,4,Pressure Vulnerable,#e74c3c
JD Ryder,PP,35,6,29,1.859,0.8333,0.4483,-74.45,67.78,142.23,-0.0995,0.1261,0.2256,129.46,0.5143,0.4305,4,Pressure Vulnerable,#e74c3c
LJ Wright,PP,50,6,44,2.75,1.0,0.3636,-41.91,89.17,131.08,-0.0602,0.1437,0.2039,126.05,0.44,0.4217,3,Explosive Aggressor,#3498db
SC Ganguly,PP,27,7,20,3.81,0.5714,0.15,-69.3,48.91,118.21,-0.1219,0.0719,0.1938,100.24,0.2593,0.497,0,Steady Anchor,#34495e
S Dhawan,PP,203,24,179,1.865,0.4583,0.2458,-39.35,88.05,127.4,-0.0433,0.1525,0.1958,122.75,0.2709,0.4047,3,Explosive Aggressor,#3498db
SR Watson,PP,113,30,83,2.475,0.5667,0.2289,-57.77,76.02,133.79,-0.0831,0.1216,0.2048,118.46,0.3186,0.4697,4,Pressure Vulnerable,#e74c3c
PA Patel,PP,86,9,77,1.528,0.5556,0.3636,-41.89,85.37,127.25,-0.039,0.1679,0.2069,122.87,0.3837,0.4149,3,Explosive Aggressor,#3498db
WP Saha,PP,58,6,52,1.333,0.6667,0.5,-63.42,78.17,141.59,-0.1017,0.1349,0.2365,135.03,0.5172,0.393,4,Pressure Vulnerable,#e74c3c
R Dravid,PP,44,11,33,2.25,0.2727,0.1212,-40.64,77.83,118.47,-0.0665,0.1355,0.202,108.31,0.1591,0.4947,1,Composed Accumulator,#2ecc71
AM Rahane,PP,126,13,113,3.401,0.6923,0.2035,-56.82,72.01,128.84,-0.073,0.1229,0.1959,122.97,0.254,0.3982,4,Pressure Vulnerable,#e74c3c
SE Marsh,PP,100,14,86,1.536,0.2143,0.1395,-37.96,73.81,111.77,-0.0192,0.1328,0.152,106.46,0.15,0.4234,1,Composed Accumulator,#2ecc71
V Kohli,PP,169,15,154,4.4,0.6,0.1364,-62.36,69.26,131.62,-0.094,0.1021,0.1961,126.08,0.1775,0.3776,0,Steady Anchor,#34495e
SK Raina,PP,72,13,59,2.269,0.4615,0.2034,-47.56,93.07,140.63,-0.0513,0.1757,0.227,132.04,0.25,0.4308,3,Explosive Aggressor,#3498db
CL White,PP,35,5,30,2.0,0.6,0.3,-58.15,51.61,109.76,-0.1014,0.0567,0.158,101.45,0.3429,0.4576,4,Pressure Vulnerable,#e74c3c
JH Kallis,PP,70,16,54,1.875,0.3125,0.1667,-28.71,85.98,114.7,-0.0292,0.1447,0.1739,108.13,0.2,0.4567,1,Composed Accumulator,#2ecc71
RG Sharma,PP,181,28,153,2.266,0.6071,0.268,-58.28,81.91,140.19,-0.0895,0.1307,0.2201,131.17,0.3204,0.4301,4,Pressure Vulnerable,#e74c3c
DR Smith,PP,69,20,49,1.378,0.45,0.3265,-56.43,77.35,133.78,-0.0992,0.1233,0.2225,117.42,0.3623,0.4829,4,Pressure Vulnerable,#e74c3c
KJ Coetzer,PP,32,5,27,2.7,0.6,0.2222,-64.4,81.91,146.31,-0.1071,0.1373,0.2444,136.24,0.2812,0.4168,4,Pressure Vulnerable,#e74c3c
DA Warner,PP,212,18,194,2.005,0.4444,0.2216,-69.4,74.76,144.17,-0.1231,0.1047,0.2277,138.27,0.2406,0.3876,4,Pressure Vulnerable,#e74c3c
TM Dilshan,PP,67,13,54,1.662,0.3077,0.1852,-80.38,53.19,133.57,-0.1552,0.0688,0.224,117.98,0.209,0.421,4,Pressure Vulnerable,#e74c3c
MJ Guptill,PP,98,10,88,1.821,0.6,0.3295,-55.2,79.06,134.26,-0.0739,0.1286,0.2025,128.62,0.3571,0.4162,4,Pressure Vulnerable,#e74c3c
M Vijay,PP,83,10,73,2.781,0.8,0.2877,-36.65,82.36,119.01,-0.0304,0.1334,0.1639,114.6,0.3494,0.4436,1,Composed Accumulator,#2ecc71
NV Ojha,PP,31,15,16,0.914,0.4,0.4375,-41.02,81.35,122.37,-0.0686,0.1309,0.1995,102.52,0.4194,0.5296,1,Composed Accumulator,#2ecc71
Ahmed Shehzad,PP,40,9,31,1.914,0.5556,0.2903,-44.87,68.65,113.52,-0.0618,0.1095,0.1714,103.42,0.35,0.4613,1,Composed Accumulator,#2ecc71
MK Pandey,PP,52,9,43,3.822,0.4444,0.1163,-46.52,81.83,128.36,-0.0886,0.1153,0.204,120.31,0.1731,0.443,0,Steady Anchor,#34495e
ADS Fletcher,PP,35,13,22,2.256,0.6154,0.2727,-28.06,95.46,123.52,-0.0324,0.1383,0.1707,113.09,0.4,0.5002,1,Composed Accumulator,#2ecc71
WTS Porterfield,PP,24,8,16,1.2,0.375,0.3125,-70.24,57.84,128.09,-0.112,0.0828,0.1948,104.67,0.3333,0.4873,4,Pressure Vulnerable,#e74c3c
PR Stirling,PP,79,13,66,2.688,0.6923,0.2576,-53.47,91.44,144.92,-0.0833,0.1611,0.2445,136.12,0.3291,0.4212,4,Pressure Vulnerable,#e74c3c
M Raj,PP,28,7,21,1.5,0.1429,0.0952,-33.11,53.27,86.38,-0.035,0.0879,0.1229,78.1,0.1071,0.539,1,Composed Accumulator,#2ecc71
SW Bates,PP,85,20,65,3.611,0.5,0.1385,-28.75,76.81,105.56,-0.017,0.1202,0.1372,98.79,0.2235,0.4607,0,Steady Anchor,#34495e
CM Edwards,PP,37,15,22,2.347,0.5333,0.2273,-21.62,82.24,103.86,-0.0147,0.1488,0.1634,95.1,0.3514,0.5153,1,Composed Accumulator,#2ecc71
DJS Dottin,PP,24,10,14,3.5,0.5,0.1429,-33.14,90.95,124.09,-0.0502,0.1492,0.1994,110.28,0.2917,0.4994,0,Steady Anchor,#34495e
T Chetty,PP,16,6,10,5.0,0.5,0.1,-58.68,55.18,113.86,-0.0995,0.0566,0.1561,91.86,0.25,0.4677,0,Steady Anchor,#34495e
JL Denly,PP,15,5,10,1.2,0.6,0.5,-30.61,78.22,108.84,-0.0648,0.0833,0.1482,98.63,0.5333,0.4954,1,Composed Accumulator,#2ecc71
H Masakadza,PP,35,13,22,4.513,0.6154,0.1364,-51.45,77.95,129.41,-0.0756,0.1339,0.2095,110.29,0.3143,0.4954,0,Steady Anchor,#34495e
MJ Lumb,PP,52,6,46,2.706,1.0,0.3696,-24.46,108.54,133.0,-0.0249,0.1874,0.2122,130.17,0.4423,0.4176,3,Explosive Aggressor,#3498db
AT Rayudu,PP,36,8,28,1.167,0.125,0.1071,-42.3,84.14,126.44,-0.0473,0.1428,0.1901,117.04,0.1111,0.4563,1,Composed Accumulator,#2ecc71
C Kieswetter,PP,24,7,17,1.821,0.4286,0.2353,-44.46,80.4,124.86,-0.0851,0.1047,0.1898,111.89,0.2917,0.477,4,Pressure Vulnerable,#e74c3c
SR Taylor,PP,63,22,41,0.932,0.1818,0.1951,-51.06,64.92,115.98,-0.0842,0.0933,0.1775,98.15,0.1905,0.5039,4,Pressure Vulnerable,#e74c3c
MA Agarwal,PP,62,6,56,1.556,0.6667,0.4286,-31.55,92.45,124.0,-0.0213,0.1613,0.1826,120.94,0.4516,0.4072,3,Explosive Aggressor,#3498db
AJ Finch,PP,174,18,156,2.222,0.5556,0.25,-44.11,85.4,129.51,-0.0482,0.1466,0.1947,124.95,0.2816,0.3957,3,Explosive Aggressor,#3498db
EJG Morgan,PP,19,8,11,0.688,0.25,0.3636,-71.66,59.27,130.93,-0.1151,0.1122,0.2273,100.75,0.3158,0.5678,4,Pressure Vulnerable,#e74c3c
AD Hales,PP,98,7,91,3.095,0.7143,0.2308,-48.08,100.44,148.52,-0.0568,0.1859,0.2428,145.08,0.2653,0.3805,3,Explosive Aggressor,#3498db
J Charles,PP,40,13,27,2.967,0.7692,0.2593,-61.49,81.04,142.53,-0.1016,0.1418,0.2434,122.55,0.425,0.4956,4,Pressure Vulnerable,#e74c3c
MS Wade,PP,63,8,55,3.173,0.75,0.2364,-53.81,84.8,138.61,-0.0813,0.1121,0.1934,131.78,0.3016,0.3541,4,Pressure Vulnerable,#e74c3c
D van Niekerk,PP,35,17,18,0.635,0.1765,0.2778,-19.32,74.52,93.84,0.0024,0.1183,0.1159,84.45,0.2286,0.5434,1,Composed Accumulator,#2ecc71
DJ Harris,PP,15,5,10,3.333,1.0,0.3,-29.86,79.56,109.42,0.0005,0.1344,0.1339,99.46,0.5333,0.4647,0,Steady Anchor,#34495e
NJ Maddinson,PP,38,5,33,2.829,0.6,0.2121,-23.68,114.35,138.03,-0.0024,0.2201,0.2225,134.91,0.2632,0.4348,3,Explosive Aggressor,#3498db
UT Khawaja,PP,58,5,53,1.988,0.6,0.3019,-52.33,82.45,134.78,-0.0752,0.1382,0.2134,130.27,0.3276,0.371,3,Explosive Aggressor,#3498db
CA Lynn,PP,96,12,84,1.4,0.4167,0.2976,-56.74,93.26,150.0,-0.0806,0.1679,0.2485,142.91,0.3125,0.4122,4,Pressure Vulnerable,#e74c3c
BR Dunk,PP,43,5,38,1.629,0.6,0.3684,-53.73,81.19,134.91,-0.057,0.135,0.192,128.66,0.3953,0.3934,3,Explosive Aggressor,#3498db
MR Marsh,PP,68,14,54,3.857,0.5714,0.1481,-73.09,78.45,151.54,-0.1048,0.1394,0.2442,136.49,0.2353,0.4282,4,Pressure Vulnerable,#e74c3c
KS Williamson,PP,68,11,57,4.442,0.5455,0.1228,-62.3,57.18,119.47,-0.1039,0.0692,0.1731,109.4,0.1912,0.4373,0,Steady Anchor,#34495e
SJ Taylor,PP,20,6,14,0.778,0.1667,0.2143,-26.31,84.1,110.42,-0.0395,0.1271,0.1667,102.52,0.2,0.4743,1,Composed Accumulator,#2ecc71
SJ Myburgh,PP,24,5,19,3.8,0.8,0.2105,-73.44,66.63,140.07,-0.1181,0.1129,0.2311,124.77,0.3333,0.4485,4,Pressure Vulnerable,#e74c3c
F du Plessis,PP,118,16,102,2.125,0.4375,0.2059,-52.33,91.62,143.95,-0.0833,0.1442,0.2275,136.86,0.2373,0.4037,4,Pressure Vulnerable,#e74c3c
MN Samuels,PP,19,6,13,0.867,0.3333,0.3846,-51.49,71.6,123.08,-0.0786,0.1158,0.1944,106.82,0.3684,0.459,4,Pressure Vulnerable,#e74c3c
AC Jayangani,PP,90,40,50,3.036,0.425,0.14,-58.16,66.7,124.86,-0.1126,0.1065,0.2191,99.01,0.2667,0.5431,4,Pressure Vulnerable,#e74c3c
AJ Healy,PP,72,10,62,1.632,0.5,0.3065,-83.63,47.39,131.01,-0.1576,0.0658,0.2234,119.4,0.3333,0.4452,4,Pressure Vulnerable,#e74c3c
JM Bairstow,PP,52,8,44,1.222,0.25,0.2045,-68.18,81.26,149.44,-0.0993,0.1404,0.2397,138.95,0.2115,0.4028,4,Pressure Vulnerable,#e74c3c
BYA Mendis,PP,16,5,11,1.76,0.8,0.4545,-47.12,71.44,118.56,-0.0957,0.1204,0.2161,103.84,0.5625,0.5287,4,Pressure Vulnerable,#e74c3c
SFM Devine,PP,50,7,43,1.843,0.4286,0.2326,-46.3,77.79,124.1,-0.0629,0.127,0.1899,117.61,0.26,0.4323,4,Pressure Vulnerable,#e74c3c
Nahida Khan,PP,21,11,10,2.424,0.7273,0.3,-31.08,55.03,86.12,-0.0225,0.0782,0.1006,69.84,0.5238,0.5463,1,Composed Accumulator,#2ecc71
HMD Rasangika,PP,23,7,16,4.571,0.5714,0.125,-83.2,42.77,125.96,-0.1805,0.045,0.2255,100.64,0.2609,0.5002,0,Steady Anchor,#34495e
KL Rahul,PP,143,20,123,4.305,0.7,0.1626,-54.78,80.5,135.28,-0.0766,0.1212,0.1977,127.62,0.2378,0.4025,0,Steady Anchor,#34495e
SV Samson,PP,68,8,60,2.045,0.375,0.1833,-57.07,83.92,140.99,-0.0981,0.1315,0.2296,134.27,0.2059,0.4273,4,Pressure Vulnerable,#e74c3c
GJ Maxwell,PP,41,5,36,2.4,0.8,0.3333,-48.91,110.39,159.3,-0.0766,0.1886,0.2652,153.33,0.3902,0.3705,3,Explosive Aggressor,#3498db
Javeria Khan,PP,39,14,25,2.381,0.5714,0.24,-44.36,54.97,99.33,-0.0463,0.0901,0.1364,83.4,0.359,0.5136,1,Composed Accumulator,#2ecc71
CMA Shillington,PP,21,8,13,1.625,0.5,0.3077,-48.08,62.95,111.03,-0.0735,0.0791,0.1526,92.71,0.381,0.5113,1,Composed Accumulator,#2ecc71
Q de Kock,PP,149,17,132,2.353,0.5882,0.25,-63.87,80.81,144.69,-0.0993,0.1262,0.2255,137.4,0.2886,0.4,4,Pressure Vulnerable,#e74c3c
Ayasha Rahman,PP,27,14,13,5.107,0.7857,0.1538,-31.09,52.97,84.06,-0.0428,0.0658,0.1086,67.94,0.4815,0.5662,0,Steady Anchor,#34495e
L Lee,PP,43,16,27,1.898,0.5625,0.2963,-49.63,71.08,120.72,-0.0726,0.1262,0.1989,102.25,0.3953,0.5295,1,Composed Accumulator,#2ecc71
DP Hughes,PP,49,6,43,2.867,0.6667,0.2326,-68.57,54.51,123.08,-0.1314,0.0434,0.1748,114.69,0.2857,0.4222,4,Pressure Vulnerable,#e74c3c
Sidra Ameen,PP,37,10,27,1.35,0.5,0.3704,-42.8,55.0,97.8,-0.0481,0.0788,0.1269,86.23,0.4054,0.4929,1,Composed Accumulator,#2ecc71
Babar Hayat,PP,25,6,19,0.633,0.1667,0.2632,-62.82,75.4,138.21,-0.0941,0.113,0.2071,123.13,0.24,0.4479,4,Pressure Vulnerable,#e74c3c
Sikandar Raza,PP,15,8,7,0.875,0.25,0.2857,-88.25,69.2,157.44,-0.1599,0.1112,0.2712,110.38,0.2667,0.5364,4,Pressure Vulnerable,#e74c3c
TT Beaumont,PP,45,6,39,2.955,0.8333,0.2821,-55.99,54.1,110.09,-0.0868,0.089,0.1757,102.63,0.3556,0.4518,4,Pressure Vulnerable,#e74c3c
S Mandhana,PP,92,17,75,1.681,0.4706,0.28,-66.57,65.53,132.09,-0.1164,0.114,0.2305,119.79,0.3152,0.4523,4,Pressure Vulnerable,#e74c3c
JJ Roy,PP,79,11,68,1.705,0.7273,0.4265,-69.15,70.85,140.0,-0.1269,0.0942,0.2211,130.37,0.4684,0.4155,4,Pressure Vulnerable,#e74c3c
HK Matthews,PP,68,23,45,3.634,0.5652,0.1556,-44.56,72.14,116.7,-0.0738,0.1134,0.1871,101.63,0.2941,0.4921,0,Steady Anchor,#34495e
RR Hendricks,PP,60,10,50,2.5,0.6,0.24,-69.64,63.78,133.42,-0.1179,0.0829,0.2009,121.81,0.3,0.4003,4,Pressure Vulnerable,#e74c3c
SS Iyer,PP,50,8,42,2.625,0.25,0.0952,-38.56,75.88,114.44,-0.0558,0.1153,0.1711,108.27,0.12,0.443,1,Composed Accumulator,#2ecc71
A Balbirnie,PP,46,12,34,1.545,0.5,0.3235,-27.38,88.36,115.74,-0.0137,0.1563,0.17,108.6,0.3696,0.4963,1,Composed Accumulator,#2ecc71
MH Cross,PP,16,5,11,1.467,0.4,0.2727,-90.55,61.94,152.49,-0.1937,0.0799,0.2737,124.2,0.3125,0.4766,4,Pressure Vulnerable,#e74c3c
Soumya Sarkar,PP,34,8,26,1.3,0.5,0.3846,-74.74,57.18,131.92,-0.1376,0.0663,0.204,114.33,0.4118,0.4512,4,Pressure Vulnerable,#e74c3c
HG Munsey,PP,56,10,46,1.353,0.5,0.3696,-69.33,78.57,147.9,-0.1237,0.127,0.2507,135.52,0.3929,0.4154,4,Pressure Vulnerable,#e74c3c
Anshuman Rath,PP,40,7,33,1.179,0.2857,0.2424,-46.17,72.75,118.93,-0.0512,0.1086,0.1599,110.85,0.25,0.3873,3,Explosive Aggressor,#3498db
GH Lewis,PP,62,16,46,1.917,0.375,0.1957,-41.14,79.7,120.84,-0.0741,0.1365,0.2106,110.23,0.2419,0.4927,1,Composed Accumulator,#2ecc71
CR Ervine,PP,28,7,21,1.8,0.4286,0.2381,-47.66,60.18,107.84,-0.073,0.0792,0.1522,95.93,0.2857,0.488,1,Composed Accumulator,#2ecc71
JM Vince,PP,52,6,46,3.833,0.6667,0.1739,-68.69,61.1,129.79,-0.1005,0.0794,0.1798,121.87,0.2308,0.3656,4,Pressure Vulnerable,#e74c3c
Mohammad Rizwan,PP,70,7,63,3.273,0.5714,0.1746,-56.3,65.4,121.7,-0.0677,0.0982,0.1659,116.07,0.2143,0.3993,0,Steady Anchor,#34495e
MP Stoinis,PP,60,9,51,3.542,0.5556,0.1569,-57.41,66.42,123.84,-0.1025,0.0836,0.1861,115.22,0.2167,0.4571,0,Steady Anchor,#34495e
TM Head,PP,59,7,52,2.476,0.8571,0.3462,-86.33,76.47,162.8,-0.1575,0.1244,0.2819,152.55,0.4068,0.3883,2,Pressure Collapser,#9b59b6
SD Heazlett,PP,17,5,12,1.44,0.6,0.4167,-66.51,77.85,144.36,-0.0948,0.1201,0.215,124.8,0.4706,0.4406,4,Pressure Vulnerable,#e74c3c
BL Mooney,PP,77,5,72,2.057,0.4,0.1944,-44.75,62.28,107.03,-0.0314,0.1157,0.147,104.13,0.2078,0.4043,3,Explosive Aggressor,#3498db
Jatinder Singh,PP,38,6,32,2.667,0.6667,0.25,-27.19,94.9,122.09,-0.0258,0.1523,0.1781,117.8,0.3158,0.4072,3,Explosive Aggressor,#3498db
JC Buttler,PP,131,9,122,0.424,0.1111,0.2623,-45.59,101.15,146.74,-0.053,0.1833,0.2362,143.61,0.2519,0.3934,3,Explosive Aggressor,#3498db
SA Yadav,PP,52,8,44,2.75,0.5,0.1818,-65.12,87.23,152.35,-0.1216,0.139,0.2605,142.33,0.2308,0.4272,4,Pressure Vulnerable,#e74c3c
N Rana,PP,24,5,19,5.7,0.6,0.1053,-68.97,78.52,147.49,-0.1081,0.1548,0.2629,133.12,0.2083,0.4546,0,Steady Anchor,#34495e
Babar Azam,PP,81,14,67,2.393,0.5,0.209,-52.68,70.88,123.56,-0.0699,0.1105,0.1804,114.45,0.2593,0.4026,4,Pressure Vulnerable,#e74c3c
J Weatherald,PP,51,8,43,1.414,0.625,0.4419,-66.86,61.22,128.07,-0.1198,0.0748,0.1947,117.59,0.4706,0.4139,4,Pressure Vulnerable,#e74c3c
DJM Short,PP,80,10,70,3.5,0.6,0.1714,-64.1,59.31,123.41,-0.1023,0.0828,0.1851,115.4,0.225,0.4233,4,Pressure Vulnerable,#e74c3c
SP Narine,PP,38,5,33,1.76,0.8,0.4545,-95.08,82.15,177.24,-0.1992,0.1267,0.3259,164.73,0.5,0.3835,2,Pressure Collapser,#9b59b6
BR McDermott,PP,39,5,34,2.04,0.6,0.2941,-56.85,59.52,116.37,-0.0708,0.0784,0.1492,109.08,0.3333,0.4491,4,Pressure Vulnerable,#e74c3c
